,...1,country,continent,urban_and_agri_area_country_cat_1,urban_and_agri_area_country_cat_2,urban_and_agri_area_country_cat_3,urban_and_agri_area_country_cat_4,urban_area_in_country_cat_1,urban_area_in_country_cat_2,urban_area_in_country_cat_3,urban_area_in_country_cat_4,agri_area_in_country_cat_1,agri_area_in_country_cat_2,agri_area_in_country_cat_3,agri_area_in_country_cat_4,total_country_area,,y,x,
1,1,Afghanistan,Asia,NA,NA,NA,118184.1172,NA,NA,NA,234516.9844,NA,NA,NA,248988.6094,639911.9375,,0.474656722,0.366483215,0.366483215
2,1,Albania,Europe,NA,NA,NA,9007.682617,NA,NA,NA,22763.38672,NA,NA,NA,12452.22461,28529.77734,,0.723379388,0.315729159,0.797881682
3,1,Algeria,Africa,NA,NA,NA,99286.41406,NA,NA,NA,248763.5625,NA,NA,NA,128010.7344,2312314.25,,0.775610065,0.042938115,0.107582074
4,1,American Samoa,Oceania,NA,NA,NA,29.05535889,NA,NA,NA,97.87828064,NA,NA,NA,30.8594532,163.6754456,,0.941538358,0.177518129,0.598002225
5,1,Andorra,Europe,NA,NA,NA,361.055542,NA,NA,NA,504.8016357,NA,NA,NA,361.055542,504.8269043,,1,0.715206616,0.999949946
6,1,Angola,Africa,NA,NA,NA,86958.92969,NA,NA,NA,131610.3438,NA,NA,NA,770559.375,1246755.375,,0.112851693,0.069748189,0.105562283
7,1,Anguilla,North America,NA,NA,NA,32.23395538,NA,NA,NA,49.75954819,NA,NA,NA,35.36913681,91.19368744,,0.911358271,0.353466959,0.545646849
9,1,Antigua and Barbuda,North America,NA,NA,NA,218.7435608,NA,NA,NA,238.8410339,NA,NA,NA,351.9419556,536.4121704,,0.621533061,0.407790078,0.445256553
10,1,Argentina,South America,NA,NA,NA,242515.375,NA,NA,NA,692996.75,NA,NA,NA,816293.625,2771804.25,,0.29709331,0.087493688,0.250016483
11,1,Armenia,Asia,NA,NA,NA,6375.539551,NA,NA,NA,20622.8418,NA,NA,NA,10867.21289,29545.01953,,0.586676604,0.21579067,0.698014154
12,1,Aruba,North America,NA,NA,NA,107.1358948,NA,NA,NA,156.3659973,NA,NA,NA,112.7963333,199.4835358,,0.949817176,0.537066352,0.78385415
13,1,Australia,Oceania,NA,NA,NA,121809.3359,NA,NA,NA,255208.9844,NA,NA,NA,990246.9375,7672167.5,,0.123009051,0.015876783,0.033264261
14,1,Austria,Europe,NA,NA,NA,40825.72266,NA,NA,NA,75799.38281,NA,NA,NA,44023.01172,83486.97656,,0.927372323,0.48900708,0.907918647
15,1,Azerbaijan,Asia,NA,NA,NA,22296.9375,NA,NA,NA,70203.10156,NA,NA,NA,30562.42383,85581.53125,,0.729553965,0.260534454,0.820306678
16,1,"Bahamas, The",North America,NA,NA,NA,1242.556274,NA,NA,NA,1381.490845,NA,NA,NA,8149.960449,12116.53223,,0.152461632,0.102550486,0.114017016
