,...1,country,area_in_kba_cat_1,area_in_kba_cat_2,area_in_kba_cat_3,area_in_kba_cat_4,total_kba_area,area_in_country_cat_1,area_in_country_cat_2,area_in_country_cat_3,area_in_country_cat_4,total_country_area,continent,,y,x
168,1,Afghanistan,0,0,28886.92663,11832.84428,73957.54346,0,0,313060.4688,234516.9844,639911.9375,Asia,,0.159995096,0.366483215
200,1,Albania,0,0,1095.203195,3213.782707,4731.545954,0,0,5116.189453,22763.38672,28529.77734,Europe,,0.679224663,0.797881682
179,1,Algeria,0,0,35816.55167,33974.60102,214762.6724,0,0,296067.7188,248763.5625,2312314.25,Africa,,0.158196025,0.107582074
2,1,American Samoa,0,0,0,4.712921619,5.006548405,0,0,0,97.87828064,163.6754456,Oceania,,0.941351454,0.598002225
222,1,Andorra,0,0,0,493.2624044,493.2624044,0,0,0,504.8016357,504.8269043,Europe,,1,0.999949946
233,1,Angola,0,-9.62E+37,30105.5495,5912.904661,78467.7299,0,0,549152.1875,131610.3438,1246755.375,Africa,,0.075354603,0.105562283
46,1,Anguilla,0,0,0,15.75869356,18.53293746,0,0,0,49.75954819,91.19368744,North America,,0.850307383,0.545646849
107,1,Antigua and Barbuda,0,0,18.42154503,15.85613212,116.7152927,0,0,122.4225159,238.8410339,536.4121704,North America,,0.135853081,0.445256553
13,1,Argentina,-3.84E+38,-3.90E+38,129697.8137,52172.29335,298644.4952,0,0,1295836.625,692996.75,2771804.25,South America,,0.174696987,0.250016483
211,1,Armenia,0,0,3136.078073,6464.539935,11031.46889,0,0,7446.973145,20622.8418,29545.01953,Asia,,0.586008989,0.698014154
1,1,Aruba,0,0,0,35.53894934,38.88979682,0,0,0,156.3659973,199.4835358,North America,,0.913837362,0.78385415
24,1,Australia,0,-8.25E+38,96443.07497,25471.93352,445823.4964,0,0,1146651.375,255208.9844,7672167.5,Oceania,,0.057134569,0.033264261
35,1,Austria,0,-3.40E+38,2659.214891,11380.41609,14320.44231,0,0,6951.097656,75799.38281,83486.97656,Europe,,0.794697248,0.907918647
189,1,Azerbaijan,0,0,3260.811303,9239.50997,13733.45429,0,0,12596.33691,70203.10156,85581.53125,Asia,,0.672773927,0.820306678
118,1,"Bahamas, The",0,0,397.4330787,3.003284346,3748.258691,0,0,1186.322632,1381.490845,12116.53223,North America,,0.000801248,0.114017016
65,1,Bahrain,0,0,23.32632828,6.763680056,55.12966742,0,0,23.32632828,553.9404297,639.0297852,Asia,,0.122686756,0.866846026
219,1,Baker Island,0,0,0,0,0.42220363,0,0,0,0,0.42220363,North America,,0,0
129,1,Bangladesh,0,0,745.513981,3610.370073,6694.669069,0,0,4662.333008,120396.1172,137652.0938,Asia,,0.539290297,0.874640653
76,1,Barbados,0,0,0,59.65058931,66.0467144,0,0,0,408.1219788,446.0570984,North America,,0.903157558,0.914954566
108,1,Belgium,0,0,0,5545.016131,5586.409711,0,0,0,30298.19336,30467.9082,Europe,,0.992590307,0.994429718
139,1,Belize,0,0,7441.1261,3143.584615,14413.42233,0,0,11237.89355,6892.933594,22013.39844,North America,,0.218101194,0.313124464
165,1,Benin,0,0,11143.96468,2983.327274,14991.90826,0,0,29790.37305,85152.59375,116150.6484,Africa,,0.198995833,0.733121984
96,1,Bermuda,0,0,0,0.083403498,0.083403498,0,0,0,9.91987133,19.7353363,North America,,1,0.502645163
170,1,Bhutan,0,0,3822.854563,1057.724345,13767.65221,0,0,13478.49805,4959.414551,39751.83984,Asia,,0.076826777,0.124759371
161,1,Bolivia,-7.80E+37,-5.86E+38,33196.02225,10085.47296,233167.2189,0,0,347322.2813,118979.6563,1085596.875,South America,,0.043254249,0.109598378
150,1,Bosnia and Herzegovina,0,0,102.0083895,1115.919467,1314.793671,0,0,3561.812988,47467.50391,51276.41406,Europe,,0.848741131,0.925718087
85,1,Botswana,0,0,28070.17756,9383.535056,140286.4323,0,0,253518.375,43577.67578,577508.25,Africa,,0.0668884,0.075458101
172,1,Bouvet Island,0,0,0,0,27.39307976,0,0,0,0,57.08922195,South America,,0,0
169,1,Brazil,0,-4.83E+38,204816.7918,78493.69993,986163.6957,0,0,2517972.25,2076501.25,8467980,South America,,0.079595001,0.245218015
10,1,British Indian Ocean Territory,0,0,0,0,2.734429359,0,0,0,0,90.4094696,Africa,,0,0
149,1,British Virgin Islands,0,0,0,15.3791995,17.17777252,0,0,0,59.29576492,115.2607422,North America,,0.895296493,0.514448925
173,1,Brunei,0,0,518.3858795,107.2763133,1627.826023,0,0,2009.247192,1440.270264,5746.461914,Asia,,0.065901584,0.250636006
171,1,Bulgaria,0,0,4459.903727,20306.14887,25290.17157,0,0,8198.545898,101264.4922,110509.9453,Europe,,0.802926497,0.916338271
144,1,Burkina Faso,0,0,7782.483976,4387.770504,12945.40722,0,0,78742.26563,191254.7656,272216.1875,Africa,,0.338944185,0.702584102
174,1,Burundi,0,0,364.9481664,749.2884601,1247.025402,0,0,1448.237427,23725.93359,27184.99023,Africa,,0.600860623,0.872758584
166,1,Byelarus,0,0,3108.861762,12233.56952,15865.94506,0,0,7670.555664,196437.9063,206374.8438,Europe,,0.771058356,0.951850054
176,1,Cambodia,0,-3.46E+38,26718.51483,12955.29311,55457.22081,0,0,57562.11719,101550.0938,181652.8281,Asia,,0.233608769,0.559033927
185,1,Cameroon,0,0,16511.86918,3463.668273,39988.37171,0,0,241221.5781,152678.8125,464702.2813,Africa,,0.086616887,0.328551889
175,1,Canada,-4.65E+37,-1.23E+38,21739.42819,8561.554238,246967.0543,0,0,1242429.625,475445.3438,9881320,North America,,0.034666787,0.04811557
193,1,Cape Verde,0,0,99.44945889,396.4989382,665.9021045,0,0,332.256012,3175.132324,4028.191162,Africa,,0.595431274,0.788227816
184,1,Cayman Islands,0,0,0,45.15387332,46.47592509,0,0,0,147.4626617,208.3854065,North America,,0.971554052,0.7076439
191,1,Central African Republic,0,0,11117.06882,1451.893042,76599.41476,0,0,250064.375,56058.42188,618519.5625,Africa,,0.018954362,0.090633224
177,1,Chad,0,0,20462.62454,3944.716348,126402.0901,0,0,367680.125,99480.5625,1270909.125,Africa,,0.031207683,0.078275119
183,1,Chile,0,-3.43E+38,12666.26858,6162.31626,51359.40682,0,0,201058.7656,142575.4688,741665.5625,South America,,0.119984179,0.192236873
182,1,China,-6.80E+38,-4.71E+38,254488.275,186447.4808,1108655.884,0,0,1945082.375,4078088.5,9336336,Asia,,0.168174348,0.43679753
30,1,Christmas Island,0,0,0,0,35.12187195,0,0,0,0,123.9420776,Asia,,0,0
