,...1,country,continent,area_in_pa_cat_1,area_in_pa_cat_2,area_in_pa_cat_3,area_in_pa_cat_4,total_pa_area,area_in_country_cat_1,area_in_country_cat_2,area_in_country_cat_3,area_in_country_cat_4,total_country_area,,y,x
88,1,Afghanistan,Asia,0,0,6226.640219,2569.087855,23399.99641,0,0,313060.4688,234516.9844,639911.9375,,0.109790096,0.366483215
116,1,Albania,Europe,0,-3.40E+38,1440.736043,3042.932736,5041.547072,0,0,5116.189453,22763.38672,28529.77734,,0.603571224,0.797881682
98,1,Algeria,Africa,0,0,25992.96789,17561.7975,218204.2533,0,0,296067.7188,248763.5625,2312314.25,,0.080483296,0.107582074
2,1,American Samoa,Oceania,0,0,0,0.005173443,0.442470372,0,0,0,97.87828064,163.6754456,,0.011692179,0.598002225
132,1,Andorra,Europe,0,0,0,274.5785918,274.6038428,0,0,0,504.8016357,504.8269043,,0.999908046,0.999949946
141,1,Angola,Africa,0,0,22859.99604,1372.828505,82665.59333,0,0,549152.1875,131610.3438,1246755.375,,0.016607012,0.105562283
46,1,Antigua and Barbuda,North America,0,0,0,4.473309129,4.473309129,0,0,122.4225159,238.8410339,536.4121704,,1,0.445256553
11,1,Argentina,South America,-6.01E+38,-5.29E+38,116377.7274,36804.37942,330963.9648,0,0,1295836.625,692996.75,2771804.25,,0.111203585,0.250016483
126,1,Armenia,Asia,0,-1.04E+38,2324.800549,3945.861001,8853.523121,0,0,7446.973145,20622.8418,29545.01953,,0.445682577,0.698014154
1,1,Aruba,North America,0,0,0,32.68453413,34.14486188,0,0,0,156.3659973,199.4835358,,0.957231406,0.78385415
19,1,Australia,Oceania,0,-1.49E+40,141681.3707,17276.83466,1708870.725,0,0,1146651.375,255208.9844,7672167.5,,0.010110089,0.033264261
20,1,Austria,Europe,0,-1.47E+39,11550.36127,35660.7107,48426.77068,0,0,6951.097656,75799.38281,83486.97656,,0.73638424,0.907918647
108,1,Azerbaijan,Asia,0,-7.95E+37,2823.455995,5251.37039,8556.263748,0,0,12596.33691,70203.10156,85581.53125,,0.613745736,0.820306678
48,1,"Bahamas, The",North America,0,-4.01E+37,98.36334348,1.51220713,1760.305741,0,0,1186.322632,1381.490845,12116.53223,,0.000859059,0.114017016
